name,year,Overall Index,property rights,government integrity,judicial effectiveness,tax burden,government spending,fiscal health,business freedom,labor freedom,monetary freedom,trade freedom,investment freedom,financial freedom,InequalityRate
Norway,2012,68.8,90,86,83.5,52.5,35.3,97.8333333333333,88.4,46.3,75.1,89.3,65,60,3.2
Poland,2012,64.2,60,53,52.8666666666667,74.4,40.3,81.3333333333333,61.4,61.3,79.1,87.1,65,60,4.9
Portugal,2012,63,70,60,67.7666666666667,59,25.5,49.3,83,32.5,82.6,87.1,70,60,5.8
Romania,2012,64.4,40,37,56.7,87.4,55.1,90.4333333333333,70.5,62.6,74.3,87.1,80,50,6.6
Slovakia,2012,67,50,43,38,84.2,48.2,85,71,58.1,83.5,87.1,75,70,3.7
Slovenia,2012,62.9,60,64,53.1,64.8,27.9,51.6666666666667,81.4,42.2,81.2,87.1,70,50,3.4
Spain,2012,69.1,70,61,55.7666666666667,61.3,37.1,38.0333333333333,81.3,51.8,81.5,87.1,80,80,6.5
Sweden,2012,71.7,90,92,84.8,39.1,8.8,95.3666666666667,94.6,54.6,80.9,87.1,90,80,4
Switzerland,2012,81.1,90,87,80.5666666666667,67.9,65.8,96,77.9,87.9,84.4,90,80,80,4.4
Turkey,2012,62.5,50,44,52.2666666666667,77.7,58.5,93.8333333333333,67.1,40,71.9,85.4,70,60,9.3
United Kingdom,2012,74.1,90,76,90.9,56.4,21.5,54.1666666666667,94.7,71.5,73.9,87.1,90,80,5
Austria,2011,71.9,90,79,78,50.3,28,82.1,72.8,78.2,82.9,87.6,80,70,4.1
Belgium,2011,70.2,80,71,66.8,41.8,25,69.2,92.6,71,82.5,87.6,80,70,3.9
Bulgaria,2011,64.9,30,38,41.1,86.9,58.3,93.1666666666667,75.8,82,75.5,87.6,55,60,6.5
Croatia,2011,61.1,40,41,52.0666666666667,74.6,50.3,65.7666666666667,65.2,44.1,78.5,87.6,70,60,5.6
Cyprus,2011,73.3,80,66,55.1666666666667,74.6,45.6,77.5,80.1,71.4,87.6,82.6,75,70,4.3
Denmark,2011,78.6,90,93,76.6333333333333,43.2,19.5,96.2666666666667,99.7,92.1,81.4,87.6,90,90,4
Estonia,2011,75.2,80,66,80.9,80.7,52.2,99.8,80.9,55.8,78.7,87.6,90,80,5.3
Finland,2011,74,90,89,82.2,65.3,26.5,81.6,95,41.4,80.7,87.6,85,80,3.7
France,2011,64.6,80,69,70.5,52.3,16.4,60.9,85.6,51.4,83.7,82.6,55,70,4.6
Germany,2011,71.8,90,80,77.6333333333333,58.5,42.7,90.8333333333333,89.6,40.6,83.9,87.6,85,60,4.5
